name,description,manufacturer
Sony RDR-GX360 DVD Player/Recorder,"DVD+RW, DVD-R, DVD-RAM, CD-RW - DVD Video, CD-DA, Video CD Playback - 1 Disc(s) - Progressive Scan",Sony
Toshiba XD-E500 Upconversion DVD Player,"DVD-RW, CD-RW - DVD Video, CD-DA, JPEG, WMA, MP3, PCM Playback - Progressive Scan",Toshiba
Toshiba SD-V296 DVD/VCR Combo,"VHS, DVD-RW, CD-RW - DVD Video, Video CD, WMA, MP3, JPEG, DivX, SQPB Playback - 1 Disc(s) - Progressive Scan - Black",Toshiba
Nikon Coolpix S610 Digital Camera - Midnight Black - 26125,10 Megapixel - 16:9 - 4x Optical Zoom - 4x Digital Zoom - 3' Active Matrix TFT Color LCD,Nikon
Canon CL-211 Color Ink Cartridge For PIXMA MP240 and MP480 Printers - 2976B001,"Cyan, Magenta, Yellow",Canon
Garmin nvi 755T Automobile Navigator - 010-00715-30,4.3' Active Matrix TFT Color LCD,Garmin
Panasonic Lithium Ion Digital Camera Battery - CGR-S006A/1B,Lithium Ion (Li-Ion) - Photo Battery,Panasonic
Sony BRAVIA DAV-IS50/B Home Theater System,"DVD Player, 5.1 Speakers - 1 Disc(s) - Progressive Scan - 450W RMS - Dolby Digital EX, Dolby Pro Logic, Dolby Pro Logic II",Sony
Canon PowerShot SX110 IS Digital Camera - Silver - 2666B001,"Canon PowerShot SX110 IS 9 Megapixel Digital Camera w/ 10x Optical Zoom, 3' LCD, ISO 1600, Optical Image Stabilizer - Silver",Canon
Canon PowerShot A1000 IS Digital Camera - Gray - 3210B001,"Canon PowerShot A1000 IS 10 Megapixel Digital Camera w/ 4x Optical Zoom, 2.5 LCD, Optical Image Stabilizer, & Face Detection - Gray",Canon
Canon CLI-221 Gray Ink Cartridge - 2950B001,Gray,Canon
Canon CLI-221 Yellow Ink Cartridge - 2949B001,Yellow,Canon
Nikon D90 Digital SLR Camera with AF-S DX Nikkor 18-105mm f/3.5-5.6G ED VR Lens - 25448,"Nikon D90 12 Megapixel Digital SLR Camera w/ 3' LCD, Live View, 18-105mm Lens, 4.5 fps Burst & In-Camera Image Editing",Nikon
Samsung 9 Series LN55A950 55' LCD TV,"55' - ATSC, NTSC - 181 Channels - 16:9 - 1920 x 1080 - Surround - HDTV - 1080p",Samsung
Sony VAIO RT All-in-One Desktop - VGCRT150Y,"Sony VAIO RT150Y All In One Desktop Computer 2.66Ghz Intel Core 2 Quad 9400 Processor, 8GB RAM, 1TB Hard Drive, BD-RE Drive, NVIDIA GeForce 9600M GT, 25.5' WUXGA HD Display, Windows Vista Ultimate",Sony
Sony VAIO LV All-in-One Desktop - VGCLV150J,"Sony VAIO VGC-LV150J Desktop 24-Inch All-in-One PC - 2.53 GHz Intel Core 2 Duo E7200 Processor, 4 GB RAM, 500 GB Hard Drive, Blu-ray Drive, Windows Vista Home Premium- Silver",Sony
Sony VAIO AW110J/H Notebook - VGNAW110J/H,"Sony Vaio AW Series AW110JH Notebook 2.26GHz Intel Core 2 Duo P8400, 4GB RAM, 320GB Hard Drive, DVD +/- RW w/ Blu-ray Disc Support, Wireless 802.11a/b/g/n, NVIDIA GeForce 9300M, 18.4' XBRITE-ECO LCD Display, Webcam & Mic, Windows Vista Home Premium",Sony
Canon DC310 Digital Camcorder - 2694B001,"Canon DC310 DVD Camcorder w/ 41x Advanced Zoom, Built-in Lens Cover, Image Stabilization, & Canon Exclusive- DIGIC DV II",Canon
Sony VAIO CS110E/R Notebook - VGNCS110E/R,"Sony VAIO CS Series CS110E/R Notebook Intel Core 2 Duo T5800 2.0GHz, 3GB, 250GB HDD, 14.1' Widescreen, DVD+/-RW DL, Bluetooth, 802.11 a/b/g/n, Microsoft Vista Home Premium (Red)",Sony
Samsung 9 Series LN46A950 46' LCD TV,"46' - ATSC, NTSC - 181 Channels - 16:9 - 1920 x 1080 - Surround - HDTV - 1080p",Samsung
Canon PowerShot SD880 IS Digital Camera - Silver - 3197B001,"Canon PowerShot SD880 IS 10 Megapixel Digital Camera w/ UA Lens, 4x Optical Zoom, 28mm Wide Lens, Optical Image Stabilizer, & PureColor II 3' LCD - Silver",Canon
Apple iPod Shuffle 1GB Flash MP3 Player - MB811LL/A,1GB Flash Memory - Pink,Apple
Belkin Folio for iPod touch - F8Z373,Leather - Black,Belkin
Apple iPod touch 32GB Flash Portable Media Player - MB533LL/A,"Audio Player, Video Player, Photo Viewer - 3.5' Color LCD - 32GB Flash Memory",Apple
Apple iPod Classic 120GB Hard Drive Portable Media Player - MB562LL/A,"Audio Player, Video Player, Photo Viewer - 2.5' Color LCD - 120GB Hard Drive - Silver",Apple
Apple iPod Classic 120GB Hard Drive Portable Media Player - MB565LL/A,"Audio Player, Video Player, Photo Viewer - 2.5' Color LCD - 120GB Hard Drive - Black",Apple
Belkin Switch-to-Mac Cable - F4U001,1 x USB - 1 x USB - 8ft - White,Belkin
Apple iPod touch 8GB Flash Portable Media Player - MB528LLA,"Audio Player, Video Player, Photo Viewer - 3.5' Color LCD - 8GB Flash Memory",Apple
Apple iPod touch 16GB Flash Portable Media Player - MB531LLA,"Audio Player, Video Player, Photo Viewer - 3.5' Color LCD - 16GB Flash Memory",Apple
Coby Electronics TF-TV1514 15' LCD TV,"15' - Active Matrix TFT - ATSC, NTSC - 16:9 - 1280 x 800 - HDTV",Coby
Sony DPFD80 Digital Photo Frame,Photo Viewer - 8' LCD,Sony
Denon AVR2809CI A/V Receiver,"Dolby Pro Logic IIx, Dolby Digital EX, DTS-ES Discrete, DTS-ES Matrix, DTS Neo:6, Dolby TrueHD, Dolby Digital Plus, Neural SurroundAM, FM",Denon
Sony VAIO CS180J/Q Notebook - VGNCS180J/Q,"Sony VAIO CS Series VGN-CS180J/Q 14.1-Inch Notebook 2.26 GHz Intel Core 2 Duo P8400 Processor, 4 GB RAM, 320 GB Hard Drive, Blu-ray Drive, Vista Home Premium- Black",Sony
Sony VAIO CS180J/P Notebook - VGNCS180J/P,"Sony VAIO CS Series VGN-CS180J/P 14.1-Inch Notebook 2.26 GHz Intel Core 2 Duo P8400 Processor, 4 GB RAM, 320 GB Hard Drive, Blu-ray Drive, Vista Home Premium- Pink",Sony
Sharp AQUOS BD-HP21U Blu-ray Disc Player,"BD-RE, DVD+RW, DVD-RW, CD-RW - BD Video, DVD Video, JPEG, CD-DA, MPEG-2, VC-1, AC3, LPCM Playback - Progressive Scan",Sharp
Sharp AQUOS BD-HP50U Blu-ray Disc Player,"BD-RE, DVD+RW, DVD-RW, CD-RW - BD Video, DVD Video, CD-DA, JPEG, VC-1, MPEG-2, AC3, LPCM Playback - Progressive Scan",Sharp
Sharp AQUOS LC-42D85U 42' LCD TV,"42' - Active Matrix TFT - ATSC, NTSC - 16:9 - 1920 x 1080 - HDTV - 1080p",Sharp
Sony BRAVIA VPL-HW10 Digital Projector - VPLHW10,1920 x 1080 - 22.05lb,Sony
Onkyo TX-SR876 A/V Receiver - TXSR876B,"Dolby Digital, Dolby TrueHD, DTS-HD, Dolby Digital EX, Dolby Digital Plus, Dolby Pro Logic II, Dolby TrueHD, DTS, DTS-ES, DTS Neo:6, THX Surround EX, THX Select 2FM, AM",Onkyo
Onkyo TX-8255 A/V Receiver,"AM, FM",Onkyo
Denon DHT-589BA Home Theater System,", A/V Receiver, 5.1 Speakers - Dolby Pro Logic II, DTS",Denon
LG 42LG30 42' LCD TV,"LG 42LG30 42' LCD HDTV - 12,000:1 Dynamic Contrast Ratio - Invisible Speaker",LG Electronics
Apple 8x DVDRW Drive - MB397G/A,(Double-layer) - DVD-RAM/R/RW - 8x 8x 8x (DVD) - 24x 16x 24x (CD) - USB - External,Apple
Apple MacBook Pro Notebook - MB470LL/A,"Intel Core 2 Duo 2.4GHz - 15.4' WXGA+ - 2GB DDR3 SDRAM - 250GB HDD - DVD-Writer (DVDR/RW) - Gigabit Ethernet, Wi-Fi, Bluetooth - Mac OS X 10.5 Leopard",Apple
Sony BRAVIA XBR Series KDL-52XBR6 52' LCD TV - KDL52XBR6,"52' - Active Matrix TFT - ATSC, NTSC - 16:9 - 1920 x 1080 - Dolby, Surround - HDTV - 480i, 480p, 720p, 1080i, 1080p",Sony
Sony VAIO LV140J Desktop - VGC-LV140J,"Intel Core 2 Duo E7200 2.53GHz - 4GB DDR2 SDRAM - 320GB - DVD-Writer (DVD-RAM/R/RW) - Gigabit Ethernet, Bluetooth, Wi-Fi - 24' Active Matrix TFT Color LCD - Windows Vista Home Premium x64 - All-in-One",Sony
Sony VAIO FW378J/B Notebook - VGNFW378J/B,"Intel Centrino 2 Core 2 Duo P8600 2.4GHz - 16.4' - 4GB DDR2 SDRAM - 320GB HDD - BD-Reader/DVD-Writer (BD-ROM/DVD-RAM/R/RW) - Wi-Fi, Gigabit Ethernet, Bluetooth - Windows Vista Home Premium x64 - Black",Sony
